n,assetId,sku,product,mothersDay,role,facets,seed,filename,prompt,negativePrompt
"1","fo-bq-007-hero","FO-BQ-007","Rose Harbour","yes","hero","bouquet · classic · classic","99507537","fo-bq-007-hero.png","A hand-tied bouquet of 18 soft pink roses with eucalyptus, wrapped in kraft paper and tied with plain twine, centred at 4:5 with an 8% margin on every side, on a neutral warm-grey seamless background, soft north light from the left, colour-accurate soft pink heads, natural stem structure, no hands, no faces, no text.","hands, fingers, arms, faces, people, shop interior, shopfront, premises, signage, text, lettering, numbers, watermark, logo, price tag, greetings card message, fused or impossible stems, extra petals, melted or waxy petals, plastic or silk flowers, wilted flowers, wrong flower species, implausible stem count, harsh flash, heavy vignette, cluttered background, props, tiled or repeated pattern"
"2","fo-bq-007-detail","FO-BQ-007","Rose Harbour","yes","detail","bouquet · classic · classic","212307852","fo-bq-007-detail.png","A close detail of the same bouquet of 18 soft pink roses: the three nearest heads filling the frame at 4:5, the kraft paper edge visible at the bottom, on a neutral warm-grey seamless background, soft north light from the left, petal texture and calyx sharp, colour-accurate soft pink, no hands, no faces, no text.","hands, fingers, arms, faces, people, shop interior, shopfront, premises, signage, text, lettering, numbers, watermark, logo, price tag, greetings card message, fused or impossible stems, extra petals, melted or waxy petals, plastic or silk flowers, wilted flowers, wrong flower species, implausible stem count, harsh flash, heavy vignette, cluttered background, props, tiled or repeated pattern"
"3","fo-bq-012-hero","FO-BQ-012","Meadow Post","yes","hero","bouquet · rustic · essential","251248847","fo-bq-012-hero.png","A hand-tied rustic bouquet of 25 soft pink tulips, wrapped in kraft paper and tied with plain twine, centred at 4:5 with an 8% margin on every side, on a neutral warm-grey seamless background, soft north light from the left, colour-accurate soft pink heads, natural stem structure, no hands, no faces, no text.","hands, fingers, arms, faces, people, shop interior, shopfront, premises, signage, text, lettering, numbers, watermark, logo, price tag, greetings card message, fused or impossible stems, extra petals, melted or waxy petals, plastic or silk flowers, wilted flowers, wrong flower species, implausible stem count, harsh flash, heavy vignette, cluttered background, props, tiled or repeated pattern"
"4","fo-bq-012-detail","FO-BQ-012","Meadow Post","yes","detail","bouquet · rustic · essential","16757853","fo-bq-012-detail.png","A close detail of the same bouquet of 25 soft pink tulips: the three nearest heads filling the frame at 4:5, the kraft paper edge visible at the bottom, on a neutral warm-grey seamless background, soft north light from the left, satin petal texture sharp, colour-accurate soft pink, no hands, no faces, no text.","hands, fingers, arms, faces, people, shop interior, shopfront, premises, signage, text, lettering, numbers, watermark, logo, price tag, greetings card message, fused or impossible stems, extra petals, melted or waxy petals, plastic or silk flowers, wilted flowers, wrong flower species, implausible stem count, harsh flash, heavy vignette, cluttered background, props, tiled or repeated pattern"
"5","fo-bq-018-hero","FO-BQ-018","Lily Terrace","yes","hero","bouquet · modern · premium","160533066","fo-bq-018-hero.png","A hand-tied modern bouquet of 8 soft pink lilies with dark green foliage, wrapped in white paper and tied with plain twine, centred at 4:5 with an 8% margin on every side, on a neutral warm-grey seamless background, soft north light from the left, colour-accurate soft pink heads, natural stem structure, no hands, no faces, no text.","hands, fingers, arms, faces, people, shop interior, shopfront, premises, signage, text, lettering, numbers, watermark, logo, price tag, greetings card message, fused or impossible stems, extra petals, melted or waxy petals, plastic or silk flowers, wilted flowers, wrong flower species, implausible stem count, harsh flash, heavy vignette, cluttered background, props, tiled or repeated pattern"
"6","fo-bq-018-detail","FO-BQ-018","Lily Terrace","yes","detail","bouquet · modern · premium","86719331","fo-bq-018-detail.png","A close detail of the same bouquet of 8 soft pink lilies: the three nearest heads filling the frame at 4:5, the white paper edge visible at the bottom, on a neutral warm-grey seamless background, soft north light from the left, stamens and petal veining sharp, colour-accurate soft pink, no hands, no faces, no text.","hands, fingers, arms, faces, people, shop interior, shopfront, premises, signage, text, lettering, numbers, watermark, logo, price tag, greetings card message, fused or impossible stems, extra petals, melted or waxy petals, plastic or silk flowers, wilted flowers, wrong flower species, implausible stem count, harsh flash, heavy vignette, cluttered background, props, tiled or repeated pattern"
"7","fo-bq-020-hero","FO-BQ-020","Soft June","yes","hero","bouquet · classic · premium","178791430","fo-bq-020-hero.png","A hand-tied bouquet of 15 soft pastel peonies, wrapped in white paper and tied with plain twine, centred at 4:5 with an 8% margin on every side, on a neutral warm-grey seamless background, soft north light from the left, colour-accurate soft pastel heads, natural stem structure, no hands, no faces, no text.","hands, fingers, arms, faces, people, shop interior, shopfront, premises, signage, text, lettering, numbers, watermark, logo, price tag, greetings card message, fused or impossible stems, extra petals, melted or waxy petals, plastic or silk flowers, wilted flowers, wrong flower species, implausible stem count, harsh flash, heavy vignette, cluttered background, props, tiled or repeated pattern"
"8","fo-bq-020-detail","FO-BQ-020","Soft June","yes","detail","bouquet · classic · premium","61495","fo-bq-020-detail.png","A close detail of the same bouquet of 15 soft pastel peonies: the three nearest heads filling the frame at 4:5, the white paper edge visible at the bottom, on a neutral warm-grey seamless background, soft north light from the left, ruffled petal layers and green sepals sharp, colour-accurate soft pastel, no hands, no faces, no text.","hands, fingers, arms, faces, people, shop interior, shopfront, premises, signage, text, lettering, numbers, watermark, logo, price tag, greetings card message, fused or impossible stems, extra petals, melted or waxy petals, plastic or silk flowers, wilted flowers, wrong flower species, implausible stem count, harsh flash, heavy vignette, cluttered background, props, tiled or repeated pattern"
"9","fo-bq-037-hero","FO-BQ-037","Spring Post","yes","hero","bouquet · rustic · essential","267979519","fo-bq-037-hero.png","A hand-tied rustic bouquet of 18 bright yellow seasonal stems, wrapped in kraft paper and tied with plain twine, centred at 4:5 with an 8% margin on every side, on a neutral warm-grey seamless background, soft north light from the left, colour-accurate bright yellow heads, natural stem structure, no hands, no faces, no text.","hands, fingers, arms, faces, people, shop interior, shopfront, premises, signage, text, lettering, numbers, watermark, logo, price tag, greetings card message, fused or impossible stems, extra petals, melted or waxy petals, plastic or silk flowers, wilted flowers, wrong flower species, implausible stem count, harsh flash, heavy vignette, cluttered background, props, tiled or repeated pattern"
"10","fo-bq-037-detail","FO-BQ-037","Spring Post","yes","detail","bouquet · rustic · essential","243783753","fo-bq-037-detail.png","A close detail of the same bouquet of 18 bright yellow seasonal stems: the three nearest heads filling the frame at 4:5, the kraft paper edge visible at the bottom, on a neutral warm-grey seamless background, soft north light from the left, petal texture across the three nearest heads sharp, colour-accurate bright yellow, no hands, no faces, no text.","hands, fingers, arms, faces, people, shop interior, shopfront, premises, signage, text, lettering, numbers, watermark, logo, price tag, greetings card message, fused or impossible stems, extra petals, melted or waxy petals, plastic or silk flowers, wilted flowers, wrong flower species, implausible stem count, harsh flash, heavy vignette, cluttered background, props, tiled or repeated pattern"
