Section,Page Name,URL Path,Full URL,Page Type,SEO / Purpose Notes
Core,Homepage,/,https://abcflowers.com/,Homepage,"Brand landing page, featured bouquets, occasions, delivery promise"
Core,Shop All Flowers,/flowers/,https://abcflowers.com/flowers/,Main Category,Master shop page listing all flowers/bouquets
Core,Search Results,/search/,https://abcflowers.com/search/,System,Internal site search results page
Occasions,Occasions Hub,/occasions/,https://abcflowers.com/occasions/,Category Hub,Landing page linking to all occasion categories
Occasions,Birthday Flowers,/occasions/birthday/,https://abcflowers.com/occasions/birthday/,Category,Target keyword: birthday flowers delivery
Occasions,Anniversary Flowers,/occasions/anniversary/,https://abcflowers.com/occasions/anniversary/,Category,Target keyword: anniversary flowers
Occasions,Love & Romance,/occasions/love-romance/,https://abcflowers.com/occasions/love-romance/,Category,"Romantic bouquets, red roses"
Occasions,Wedding Flowers,/occasions/wedding/,https://abcflowers.com/occasions/wedding/,Category,Bridal and event flowers
Occasions,Sympathy & Funeral,/occasions/sympathy-funeral/,https://abcflowers.com/occasions/sympathy-funeral/,Category,"Funeral wreaths, condolence arrangements"
Occasions,Get Well Soon,/occasions/get-well-soon/,https://abcflowers.com/occasions/get-well-soon/,Category,Get well flowers
Occasions,Congratulations,/occasions/congratulations/,https://abcflowers.com/occasions/congratulations/,Category,Celebration flowers
Occasions,New Baby,/occasions/new-baby/,https://abcflowers.com/occasions/new-baby/,Category,New baby / newborn flowers
Occasions,Thank You,/occasions/thank-you/,https://abcflowers.com/occasions/thank-you/,Category,Thank you bouquets
Occasions,Valentine's Day,/occasions/valentines-day/,https://abcflowers.com/occasions/valentines-day/,Seasonal Category,Seasonal peak - keep URL live year round
Occasions,Mother's Day,/occasions/mothers-day/,https://abcflowers.com/occasions/mothers-day/,Seasonal Category,Seasonal peak - keep URL live year round
Occasions,Christmas,/occasions/christmas/,https://abcflowers.com/occasions/christmas/,Seasonal Category,Seasonal peak - keep URL live year round
Shop by Flower,Roses,/flowers/roses/,https://abcflowers.com/flowers/roses/,Category,High-volume keyword: roses delivery
Shop by Flower,Tulips,/flowers/tulips/,https://abcflowers.com/flowers/tulips/,Category,Tulip bouquets
Shop by Flower,Lilies,/flowers/lilies/,https://abcflowers.com/flowers/lilies/,Category,Lily bouquets
Shop by Flower,Orchids,/flowers/orchids/,https://abcflowers.com/flowers/orchids/,Category,Orchid plants and stems
Shop by Flower,Sunflowers,/flowers/sunflowers/,https://abcflowers.com/flowers/sunflowers/,Category,Sunflower bouquets
Shop by Flower,Carnations,/flowers/carnations/,https://abcflowers.com/flowers/carnations/,Category,Carnation arrangements
Shop by Flower,Mixed Bouquets,/flowers/mixed-bouquets/,https://abcflowers.com/flowers/mixed-bouquets/,Category,Mixed seasonal bouquets
Shop by Flower,Seasonal Flowers,/flowers/seasonal/,https://abcflowers.com/flowers/seasonal/,Category,Whatever is in season
Shop by Color,Red Flowers,/flowers/color/red/,https://abcflowers.com/flowers/color/red/,Filter Category,Color filter landing page
Shop by Color,Pink Flowers,/flowers/color/pink/,https://abcflowers.com/flowers/color/pink/,Filter Category,Color filter landing page
Shop by Color,White Flowers,/flowers/color/white/,https://abcflowers.com/flowers/color/white/,Filter Category,Color filter landing page
Shop by Color,Yellow Flowers,/flowers/color/yellow/,https://abcflowers.com/flowers/color/yellow/,Filter Category,Color filter landing page
Shop by Color,Purple Flowers,/flowers/color/purple/,https://abcflowers.com/flowers/color/purple/,Filter Category,Color filter landing page
Product Types,Bouquets,/bouquets/,https://abcflowers.com/bouquets/,Category,Hand-tied bouquets
Product Types,Flower Arrangements,/arrangements/,https://abcflowers.com/arrangements/,Category,Vase and box arrangements
Product Types,Plants,/plants/,https://abcflowers.com/plants/,Category,Indoor and flowering plants
Product Types,Gift Baskets & Hampers,/hampers/,https://abcflowers.com/hampers/,Category,Gift hampers
